strain#,SRA_accession,Assembly_accession
1,SRR3989531,GCA_003334405.1
2,SRR7819145,GCA_003334385.1
3,SRR3951465,GCA_003334815.1
4,SRR3951466,GCA_003334355.1
5,SRR3951467,GCA_003334335.1
6,SRR3951468,GCA_003334315.1
7,SRR3951469,GCA_003334305.1
8,SRR3951470,GCA_003334765.1
9,SRR3951471,GCA_003334255.1
10,SRR3951472,GCA_003334785.1
11,SRR3951473,GCA_003334245.1
12,SRR3951474,GCA_003334775.1
13,SRR3951475,GCA_003334235.1
14,SRR3951476,GCA_003334705.1
15,SRR3951517,GCA_003334225.1
16,SRR3951477,GCA_003334675.1
17,SRR3951478,GCA_003334175.1
18,SRR3951479,GCA_003334715.1
19,SRR3951480,GCA_003334165.1
20,SRR3951481,GCA_003334155.1
21,SRR3951482,GCA_003334145.1
22,SRR3951484,GCA_003334115.1
23,SRR3951485,GCA_003334095.1
24,SRR3951486,GCA_003334085.1
25,SRR3951488,GCA_003334065.1
26,SRR3951489,GCA_003334035.1
27,SRR3951490,GCA_003334665.1
28,SRR3951491,GCA_003334015.1
29,SRR3951492,GCA_003334005.1
30,SRR3951493,GCA_003333975.1
31,SRR3951494,GCA_003333945.1
32,SRR3951518,GCA_003333935.1
33,SRR3951496,GCA_003333925.1
34,SRR3951497,GCA_003334625.1
35,SRR3951498,GCA_003334735.1
36,SRR3951499,GCA_003333875.1
37,SRR3951500,GCA_003333865.1
38,SRR3951501,GCA_003334605.1
39,SRR3951503,GCA_003333855.1
40,SRR3951504,GCA_003333845.1
41,SRR3951505,GCA_003333795.1
42,SRR3951506,GCA_003333785.1
43,SRR3951508,GCA_003333775.1
44,SRR3951509,GCA_003333765.1
45,SRR3951510,GCA_003333735.1
46,SRR3987677,GCA_003334585.1
47,SRR3951512,GCA_003333715.1
48,SRR3951513,GCA_003334535.1
49,SRR3989514,GCA_003333685.1
50,SRR3989532,GCA_003333675.1
51,SRR3989533,GCA_003334615.1
52,SRR7819144,GCA_003334495.1
53,SRR7819143,GCA_003333655.1
54,SRR3989534,GCA_003333615.1
55,SRR3989535,GCA_003333605.1
56,SRR7819142,GCA_003334485.1
57,SRR3989515,GCA_003334555.1
58,SRR3989521,GCA_003333645.1
59,SRR3989507,GCA_003335465.1
60,SRR3989522,GCA_003333585.1
61,SRR3987678,GCA_003333565.1
62,SRR3989523,GCA_003333545.1
63,SRR3989529,GCA_003333505.1
64,SRR7819148,GCA_003334525.1
65,SRR3989537,GCA_003333495.1
66,SRR3989538,GCA_003333435.1
67,SRR3989530,GCA_003334465.1
68,SRR7819147,GCA_003333425.1
69,SRR3989539,GCA_003334435.1
70,SRR3989540,GCA_003333475.1
71,SRR3989541,GCA_003333385.1
72,SRR7819146,GCA_003334425.1
